w,c1=c2,epoch,g_best
0.2,1.5,8,3562.95
0.2,1.5,9,3647.72
0.2,1.5,10,3404.52
0.2,1.5,11,1672.1
0.2,1.5,12,3339.73
0.2,1.5,13,1856.15
0.2,1.5,14,3174.97
0.2,1.5,15,1489.09
0.2,1.5,16,2545.86
0.2,1.5,17,1712.53
0.2,1.5,18,3194.97
0.2,1.5,19,1905.35
0.2,1.5,20,2700.92
0.2,1.5,21,3211.59
0.2,1.5,22,2463.56
0.2,1.5,23,1847.11
0.2,1.5,24,1211.35
0.2,1.5,25,3411.48
0.2,1.5,26,1764.71
0.2,1.5,27,2441.84
0.2,1.5,28,1383.9
0.2,1.5,29,3708.72
0.2,2,0,3.82266e-14
0.2,2,1,2.22021e-15
0.2,2,2,1.89505e-15
0.2,2,3,1.27886e-18
0.2,2,4,1.80991e-16
0.2,2,5,3.62143e-19
0.2,2,6,4.11083e-18
0.2,2,7,4.3102e-18
0.2,2,8,5.02087e-19
0.2,2,9,2.19846e-17
0.2,2,10,9.12403e-17
0.2,2,11,8.21575e-15
0.2,2,12,5.20453e-17
0.2,2,13,1.49424e-15
0.2,2,14,6.33759e-18
0.2,2,15,5.42937e-17
0.2,2,16,1.41581e-17
0.2,2,17,2.59232e-15
0.2,2,18,4.38203e-18
0.2,2,19,5.12767e-18
0.2,2,20,1.13383e-13
0.2,2,21,1.93257e-16
0.2,2,22,9.12998e-17
0.2,2,23,2.11588e-15
0.2,2,24,5.89942e-15
0.2,2,25,5.28729e-17
0.2,2,26,6.43358e-17
0.2,2,27,2.71963e-15
0.2,2,28,4.59426e-15
0.2,2,29,2.62091e-17
0.2,2.5,0,9510.67
0.2,2.5,1,5588.85
0.2,2.5,2,7083.99
0.2,2.5,3,4534.85
0.2,2.5,4,4123.1
0.2,2.5,5,5680.72
0.2,2.5,6,4609.49
0.2,2.5,7,9349.31
0.2,2.5,8,9961.41
0.2,2.5,9,9509.85
0.2,2.5,10,5451.38
0.2,2.5,11,6214.2
0.2,2.5,12,6150.14
0.2,2.5,13,7365.92
0.2,2.5,14,3741.5
0.2,2.5,15,8193.8
0.2,2.5,16,6695.18
0.2,2.5,17,15970.3
0.2,2.5,18,4108.43
0.2,2.5,19,4039.36
0.2,2.5,20,8177.64
0.2,2.5,21,5432.18
0.2,2.5,22,5532.44
0.2,2.5,23,10409.8
0.2,2.5,24,8291.23
0.2,2.5,25,9506.98
0.2,2.5,26,14543.8
0.2,2.5,27,7731.43
0.2,2.5,28,2449.3
0.2,2.5,29,17668.3
0.2,3,0,29273.4
0.2,3,1,22488.3
0.2,3,2,32802.3
0.2,3,3,35929
0.2,3,4,31475.9
0.2,3,5,28322.6
0.2,3,6,32899.9
0.2,3,7,27902.9
0.2,3,8,24838
0.2,3,9,29372.4
0.2,3,10,30215.8
0.2,3,11,31027.6
0.2,3,12,30766.5
0.2,3,13,27696.7
0.2,3,14,30771.7
0.2,3,15,30489.9
0.2,3,16,23420.2
0.2,3,17,32542.1
0.2,3,18,26211
0.2,3,19,21499.5
0.2,3,20,21606.4
0.2,3,21,30784.6
0.2,3,22,17676.9
0.2,3,23,33565.4
0.2,3,24,29023.2
0.2,3,25,28897.5
0.2,3,26,23081
0.2,3,27,27471.2
0.2,3,28,24990.8
0.2,3,29,27743.3
0.2,3.5,0,32426.2
0.2,3.5,1,36530.9
0.2,3.5,2,30484.5
0.2,3.5,3,36189.5
0.2,3.5,4,29571.4
0.2,3.5,5,36171.6
0.2,3.5,6,33713.9
0.2,3.5,7,34303
0.2,3.5,8,31368.7
0.2,3.5,9,29090.5
0.2,3.5,10,36818.8
0.2,3.5,11,30144.9
0.2,3.5,12,32329.1
0.2,3.5,13,34468.3
0.2,3.5,14,34825.6
0.2,3.5,15,38344.4
0.2,3.5,16,27589.1
0.2,3.5,17,32353.4
0.2,3.5,18,23756.3
0.2,3.5,19,26665.2
0.2,3.5,20,39521.4
0.2,3.5,21,35091.9
0.2,3.5,22,32876.8
0.2,3.5,23,29687.2
0.2,3.5,24,36316.8
0.2,3.5,25,37401.4
0.2,3.5,26,30340.4
0.2,3.5,27,38074.6
0.2,3.5,28,34743.5
0.2,3.5,29,29489.1
0.3,0.5,0,9575.37
0.3,0.5,1,6756.88
0.3,0.5,2,10095.1
0.3,0.5,3,6680.29
0.3,0.5,4,7711.19
0.3,0.5,5,7181
0.3,0.5,6,9429.32
0.3,0.5,7,12834
0.3,0.5,8,8885.63
0.3,0.5,9,5343.36
0.3,0.5,10,5076.88
0.3,0.5,11,10657.7
0.3,0.5,12,8547.32
0.3,0.5,13,10767.3
0.3,0.5,14,9073.42
0.3,0.5,15,7010.95
0.3,0.5,16,6894.38
0.3,0.5,17,13851.6
0.3,0.5,18,3959.41
0.3,0.5,19,5682.78
0.3,0.5,20,5245.56
0.3,0.5,21,9237.14
0.3,0.5,22,7174.37
0.3,0.5,23,6455.06
0.3,0.5,24,6517.17
0.3,0.5,25,8975.05
0.3,0.5,26,9847.39
0.3,0.5,27,9972.09
0.3,0.5,28,9286.61
0.3,0.5,29,10073.5
0.3,1,0,7361.99
0.3,1,1,9324.55
0.3,1,2,7415.91
0.3,1,3,11651.3
0.3,1,4,7825.65
0.3,1,5,5487.51
0.3,1,6,8343.6
0.3,1,7,6090.88
0.3,1,8,5583.72
0.3,1,9,7288.6
0.3,1,10,2309.42
0.3,1,11,15160.7
0.3,1,12,6680.5
0.3,1,13,6346.98
0.3,1,14,4596.43
0.3,1,15,6608.64
0.3,1,16,7800.91
0.3,1,17,4324.44
0.3,1,18,4844.75
0.3,1,19,6293.34
0.3,1,20,7083.32
0.3,1,21,9833.36
0.3,1,22,4177.11
0.3,1,23,5772.34
0.3,1,24,6226.64
0.3,1,25,5359.4
0.3,1,26,6149.54
0.3,1,27,5557.97
0.3,1,28,7280.15
0.3,1,29,8968.82
0.3,1.5,0,1183.74
0.3,1.5,1,631.003
0.3,1.5,2,2414.1
0.3,1.5,3,1553.19
0.3,1.5,4,475.868
0.3,1.5,5,722.791
0.3,1.5,6,88.78
0.3,1.5,7,389.401
0.3,1.5,8,168.288
0.3,1.5,9,317.281
0.3,1.5,10,120.442
0.3,1.5,11,270.22
0.3,1.5,12,936.418
0.3,1.5,13,92.405
0.3,1.5,14,86.6112
0.3,1.5,15,20.8263
0.3,1.5,16,903.886
0.3,1.5,17,356.945
0.3,1.5,18,77.5075
0.3,1.5,19,106.114
0.3,1.5,20,142.738
0.3,1.5,21,674.126
0.3,1.5,22,174.222
0.3,1.5,23,48.001
0.3,1.5,24,256.097
0.3,1.5,25,180.52
0.3,1.5,26,133.163
0.3,1.5,27,473.007
0.3,1.5,28,621.892
0.3,1.5,29,476.503
0.3,2,0,1.48371e-15
0.3,2,1,2.69577e-17
0.3,2,2,7.54798e-17
0.3,2,3,2.32562e-17
0.3,2,4,2.03056e-12
0.3,2,5,8.53524e-17
0.3,2,6,1.30615e-15
0.3,2,7,3.53e-14
0.3,2,8,2.80417e-15
0.3,2,9,5.5472e-17
0.3,2,10,6.58737e-15
0.3,2,11,6.18383e-19
0.3,2,12,8.76661e-17
0.3,2,13,8.10192e-16
0.3,2,14,3.93886e-16
0.3,2,15,1.95008e-15
0.3,2,16,1.18529e-18
0.3,2,17,3.15291e-16
0.3,2,18,1.8018e-15
0.3,2,19,3.62125e-16
0.3,2,20,1.68895e-17
0.3,2,21,2.74037e-16
0.3,2,22,1.02686e-16
0.3,2,23,2.22791e-17
0.3,2,24,1.4937e-16
0.3,2,25,7.27487e-17
0.3,2,26,2.62528e-18
0.3,2,27,5.34243e-17
0.3,2,28,1.10249e-15
0.3,2,29,4.97714e-15
0.3,2.5,0,13518.8
0.3,2.5,1,6570.34
0.3,2.5,2,8225.36
0.3,2.5,3,8606.64
0.3,2.5,4,13352.2
0.3,2.5,5,10091.4
0.3,2.5,6,4177.15
0.3,2.5,7,13642.7
0.3,2.5,8,9711.97
0.3,2.5,9,4769.87
0.3,2.5,10,3003.79
0.3,2.5,11,12397.9
0.3,2.5,12,10991.8
0.3,2.5,13,6609.52
0.3,2.5,14,7933.73
0.3,2.5,15,7245.61
0.3,2.5,16,4130.56
0.3,2.5,17,15095.7
0.3,2.5,18,4210.88
0.3,2.5,19,11174.8
0.3,2.5,20,10644.4
0.3,2.5,21,4667.26
0.3,2.5,22,4478.23
0.3,2.5,23,12170.9
0.3,2.5,24,4672.29
0.3,2.5,25,6801.52
0.3,2.5,26,13780.6
0.3,2.5,27,16404.3
0.3,2.5,28,4116.96
0.3,2.5,29,12149.6
0.3,3,0,28433.7
0.3,3,1,31102.4
0.3,3,2,29032.1
0.3,3,3,25006.8
0.3,3,4,29629.4
0.3,3,5,30280.4
0.3,3,6,32982.6
